GRID_ID,ID,distance
0.0,USW00024286,0.41934482956151975
1.0,USW00024213,0.17120946349561592
2.0,USW00024213,0.35177150335516055
3.0,USW00024213,0.7658104187102871
6.0,USC00043761,0.40678419249270026
7.0,USC00049490,0.6212934970762706
8.0,USC00049490,0.6461290427740627
9.0,USC00047109,0.7305822558440498
10.0,USC00047109,0.4151571239329665
11.0,USW00023275,0.3156327458150602
12.0,USW00023275,0.5153598544766533
13.0,USC00043182,0.17858174772025248
14.0,USC00049490,0.21575825117809327
15.0,USC00049490,0.2793362729011611
16.0,USC00048587,0.5257125496040643
17.0,USC00047109,0.27064733787328227
18.0,USW00023275,0.3411003552196263
19.0,USC00045598,0.352878653449803
20.0,USW00023272,0.4682717735098096
22.0,USC00045983,0.12414043574755722
23.0,USC00042574,0.23859905235872286
24.0,USW00024257,0.07366778173558587
25.0,USW00024216,0.17655389426027202
26.0,USC00049699,0.06696798322936313
27.0,USC00041948,0.2971445232458211
28.0,USC00045360,0.1255178415352891
29.0,USW00023230,0.2726565084061706
30.0,USW00023234,0.17988485984615357
31.0,USW00023259,0.5496103101574574
33.0,USC00044838,0.29742067089978375
34.0,USC00043824,0.07005625766584118
35.0,USC00045311,0.08621648150173743
36.0,USC00042402,0.10369491280652875
37.0,USC00046521,0.06738720523973536
38.0,USC00046194,0.09335337470930188
39.0,USW00023232,0.11767450433566762
40.0,USC00045915,0.337962609979469
41.0,USC00045933,0.14776053447418144
42.0,USW00023233,0.31678994161135576
43.0,USW00023233,0.1934777352909876
44.0,USW00023233,0.6536783833199294
46.0,USC00040029,0.23414205851171693
47.0,USC00040029,0.24943805993899562
48.0,USC00041700,0.3117540699409351
49.0,USC00047195,0.04694999733694307
50.0,USC00048606,0.15489902590487936
51.0,USC00041912,0.10351999819152556
52.0,USC00048713,0.20867087785906827
53.0,USW00023237,0.272082444326711
54.0,USC00049073,0.11974626675231247
55.0,USC00049073,0.5336914849500612
56.0,USW00023233,0.6631465682574254
57.0,USW00093209,0.44802557290137307
58.0,USW00093209,0.319751123860368
59.0,USW00023273,0.2805059518650614
61.0,USC00041614,0.18846132288653855
62.0,USC00041614,0.6048561476447455
63.0,USC00048702,0.3299852223604757
64.0,USC00047085,0.21752978315585428
65.0,USC00048218,0.10422236765664225
66.0,USC00048758,0.2621725145293741
67.0,USC00041277,0.21796441293670527
68.0,USC00048353,0.056855034920617206
69.0,USC00043669,0.37298463741294624
70.0,USW00093193,0.6486181484548452
71.0,USW00093193,0.6907799277844745
72.0,USW00093209,0.4079435539882869
73.0,USW00093209,0.37363504593141295
74.0,USW00023273,0.11342235661652059
75.0,USW00023273,0.3950486274245555
76.0,USW00023190,0.5893304898670534
82.0,USW00093230,0.11143389711859787
83.0,USW00093230,0.5032610520056972
84.0,USC00043939,0.09015118203717866
85.0,USC00048380,0.06967019055973836
86.0,USW00093193,0.2014551976411726
87.0,USW00093193,0.3115374821455244
88.0,USC00049452,0.5036067091217473
89.0,USC00049452,0.37869748223885186
90.0,USW00023190,0.5102211224010288
91.0,USW00023190,0.1764138373548366
92.0,USW00023190,0.42706488395554976
93.0,USW00023136,1.0571618496775859
94.0,USC00041072,0.09536858203641659
95.0,USC00044881,0.05742335193432988
96.0,USC00044881,0.47220666571828995
97.0,USC00043551,0.2621892885330902
98.0,USC00049367,0.2774353639968881
99.0,USC00043463,0.42602310537504473
100.0,USW00023155,0.006849350439969712
101.0,USW00023187,0.37775107126105173
102.0,USW00023136,0.18173535893167778
103.0,USW00023136,0.18232279547024136
105.0,USW00023157,0.5384618117770091
106.0,USW00023157,0.1330423778307142
107.0,USW00023157,0.39606688371228854
108.0,USC00045026,0.33786295678661254
109.0,USC00043463,0.35911038037173604
110.0,USC00043463,0.4017477011462083
111.0,USW00003159,0.273743377062774
112.0,USW00023130,0.19269204122794942
113.0,USW00023174,0.03727196418372435
114.0,USW00023191,0.04331517075474375
115.0,USW00023191,0.5056770077705321
116.0,USW00023157,0.44861087865687954
117.0,USW00023157,0.6931813446501589
118.0,USC00049035,0.8082560173493889
119.0,USC00049035,0.4380925999685435
120.0,USC00049035,0.5122353560374832
121.0,USC00045756,0.3999122414057088
122.0,USC00046773,0.15818023515082097
123.0,USW00023129,0.3674921662011212
124.0,USW00023119,0.5778871500770321
125.0,USC00042319,0.5729673203083173
126.0,USC00042319,0.2805052249688878
127.0,USC00049035,0.30947334012211924
128.0,USC00049035,0.40771764994171394
129.0,USC00040521,0.12737371298421396
130.0,USC00040741,0.2735597628013062
131.0,USW00023119,0.10930235676131825
132.0,USC00046657,0.3035946491425448
133.0,USW00023188,0.1354958257675126
135.0,USC00042319,0.270915663934096
136.0,USC00042319,0.6208415224214272
137.0,USW00023161,0.6451714404262608
138.0,USW00023161,0.2831281983179864
139.0,USC00044405,0.33818788081978596
140.0,USC00044211,0.22365191769372214
141.0,USC00040983,0.1300963231396495
142.0,USC00042239,0.17950658879671919
144.0,USC00042319,1.0774645117722397
145.0,USC00040176,0.8866103943311863
146.0,USC00040176,0.3782037566246105
147.0,USC00040176,0.21134556471435073
