FIPS,County Name,Year,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared
1,Alameda,1997,0,1,1,2,0
1,Alameda,1997,2,0,0,2,0
1,Alameda,1997,0,1,1,2,0
1,Alameda,1997,3,1,0,4,0
1,Alameda,1997,0,0,0,0,0
1,Alameda,1997,0,0,1,1,0
1,Alameda,1997,0,0,0,0,0
1,Alameda,1997,4,0,1,5,1
1,Alameda,1997,0,0,0,0,0
1,Alameda,1998,13,5,10,28,3
1,Alameda,1998,9,0,4,13,3
1,Alameda,1998,2,1,2,5,2
1,Alameda,1998,14,9,13,36,1
1,Alameda,1998,0,3,3,6,0
1,Alameda,1998,17,13,8,38,5
1,Alameda,1998,14,29,5,48,4
1,Alameda,1998,9,1,7,17,4
1,Alameda,1998,7,5,5,17,4
1,Alameda,1998,112,189,18,319,9
1,Alameda,1998,1,0,1,2,0
1,Alameda,1998,7,0,1,8,1
1,Alameda,1998,5,5,1,11,2
1,Alameda,1998,7,4,21,32,7
1,Alameda,1998,0,2,1,3,0
1,Alameda,1998,0,0,0,0,0
1,Alameda,1998,0,1,0,1,0
1,Alameda,1998,1,2,0,3,0
1,Alameda,1998,0,0,0,0,0
1,Alameda,1998,2,2,6,10,5
1,Alameda,1998,0,0,1,1,0
1,Alameda,1998,0,0,1,1,0
1,Alameda,1998,0,0,0,0,0
1,Alameda,1999,9,7,8,24,1
1,Alameda,1999,11,0,8,19,2
1,Alameda,1999,2,4,0,6,0
1,Alameda,1999,28,10,20,58,1
1,Alameda,1999,0,0,0,0,0
1,Alameda,1999,10,7,0,17,2
1,Alameda,1999,20,26,3,49,5
1,Alameda,1999,7,2,4,13,6
1,Alameda,1999,5,2,4,11,4
1,Alameda,1999,121,193,15,329,24
1,Alameda,1999,0,1,0,1,0
1,Alameda,1999,2,1,1,4,1
1,Alameda,1999,11,6,2,19,2
1,Alameda,1999,2,7,7,16,1
1,Alameda,1999,0,0,1,1,0
1,Alameda,1999,0,0,0,0,0
1,Alameda,1999,0,1,1,2,0
1,Alameda,1999,1,2,0,3,1
1,Alameda,1999,0,0,0,0,0
1,Alameda,1999,2,1,1,4,0
1,Alameda,1999,0,0,1,1,0
1,Alameda,1999,1,0,2,3,0
1,Alameda,1999,0,0,0,0,0
1,Alameda,2000,13,6,9,28,3
1,Alameda,2000,15,3,15,33,5
1,Alameda,2000,0,0,2,2,0
1,Alameda,2000,23,7,13,43,2
1,Alameda,2000,0,0,0,0,0
1,Alameda,2000,10,18,17,45,7
1,Alameda,2000,23,20,1,44,7
1,Alameda,2000,6,2,5,13,0
1,Alameda,2000,5,0,0,5,0
1,Alameda,2000,80,191,19,290,21
1,Alameda,2000,0,0,1,1,0
1,Alameda,2000,3,0,2,5,1
1,Alameda,2000,13,2,2,17,5
1,Alameda,2000,21,4,3,28,5
1,Alameda,2000,0,0,0,0,0
1,Alameda,2000,1,0,0,1,0
1,Alameda,2000,0,0,0,0,0
1,Alameda,2000,1,3,0,4,0
1,Alameda,2000,0,0,0,0,0
1,Alameda,2000,4,0,0,4,0
1,Alameda,2000,0,0,0,0,0
1,Alameda,2000,4,3,2,9,2
1,Alameda,2000,0,0,0,0,0
1,Alameda,2001,13,21,26,60,8
1,Alameda,2001,17,1,6,24,6
1,Alameda,2001,4,1,0,5,0
1,Alameda,2001,17,18,16,51,8
1,Alameda,2001,0,0,0,0,0
1,Alameda,2001,11,17,13,41,5
1,Alameda,2001,18,35,8,61,7
1,Alameda,2001,2,2,17,21,4
1,Alameda,2001,1,3,6,10,0
1,Alameda,2001,105,210,13,328,15
1,Alameda,2001,0,0,4,4,1
1,Alameda,2001,6,1,3,10,1
1,Alameda,2001,10,7,2,19,12
1,Alameda,2001,17,8,4,29,3
1,Alameda,2001,4,0,7,11,0
1,Alameda,2001,0,0,0,0,0
1,Alameda,2001,0,0,0,0,0
1,Alameda,2001,0,0,0,0,0
1,Alameda,2001,0,0,0,0,0
1,Alameda,2001,2,0,1,3,1
1,Alameda,2001,0,0,1,1,0
1,Alameda,2001,1,0,2,3,0
1,Alameda,2001,0,0,0,0,0
1,Alameda,2002,12,28,20,60,5
1,Alameda,2002,8,0,13,21,2
1,Alameda,2002,2,1,0,3,0
1,Alameda,2002,17,11,8,36,4
1,Alameda,2002,0,0,1,1,0
1,Alameda,2002,8,9,8,25,3
1,Alameda,2002,27,40,8,75,7
1,Alameda,2002,11,7,16,34,5
1,Alameda,2002,1,3,8,12,3
1,Alameda,2002,85,250,19,354,17
1,Alameda,2002,1,0,0,1,0
1,Alameda,2002,6,0,4,10,2
1,Alameda,2002,10,8,2,20,6
1,Alameda,2002,12,7,3,22,8
1,Alameda,2002,2,2,4,8,0
1,Alameda,2002,0,0,0,0,0
1,Alameda,2002,0,0,0,0,0
1,Alameda,2002,0,1,0,1,0
1,Alameda,2002,0,0,0,0,0
1,Alameda,2002,0,1,0,1,0
1,Alameda,2002,0,0,1,1,0
1,Alameda,2002,1,0,0,1,0
1,Alameda,2002,1,0,0,1,0
1,Alameda,2003,15,26,11,52,5
1,Alameda,2003,15,3,17,35,6
1,Alameda,2003,3,2,2,7,1
1,Alameda,2003,14,6,12,32,1
1,Alameda,2003,1,0,0,1,0
1,Alameda,2003,7,1,4,12,2
1,Alameda,2003,16,36,6,58,3
1,Alameda,2003,4,1,16,21,6
1,Alameda,2003,2,5,2,9,2
1,Alameda,2003,80,238,16,334,6
1,Alameda,2003,1,0,0,1,0
1,Alameda,2003,5,2,5,12,3
1,Alameda,2003,7,4,5,16,4
1,Alameda,2003,6,22,4,32,3
1,Alameda,2003,2,0,4,6,0
1,Alameda,2003,0,0,0,0,0
1,Alameda,2003,0,0,0,0,0
1,Alameda,2003,0,2,0,2,0
1,Alameda,2003,0,0,0,0,0
1,Alameda,2003,1,0,1,2,2
1,Alameda,2003,1,0,1,2,0
1,Alameda,2003,4,0,2,6,0
1,Alameda,2003,0,0,0,0,0
1,Alameda,2004,7,23,3,33,4
1,Alameda,2004,5,1,9,15,5
1,Alameda,2004,3,0,5,8,0
1,Alameda,2004,21,21,17,59,15
1,Alameda,2004,0,1,0,1,0
1,Alameda,2004,8,10,3,21,5
1,Alameda,2004,19,30,0,49,2
1,Alameda,2004,4,1,14,19,1
1,Alameda,2004,1,2,3,6,0
1,Alameda,2004,97,159,10,266,4
1,Alameda,2004,0,0,0,0,0
1,Alameda,2004,5,5,10,20,3
1,Alameda,2004,6,4,2,12,3
1,Alameda,2004,6,6,2,14,2
1,Alameda,2004,0,1,8,9,0
1,Alameda,2004,0,0,0,0,0
1,Alameda,2004,0,0,1,1,1
1,Alameda,2004,0,1,0,1,0
1,Alameda,2004,0,0,0,0,0
1,Alameda,2004,1,0,2,3,1
1,Alameda,2004,0,0,0,0,0
1,Alameda,2004,4,0,1,5,0
1,Alameda,2004,0,0,0,0,0
1,Alameda,2005,13,12,9,34,6
1,Alameda,2005,8,0,13,21,0
1,Alameda,2005,2,0,1,3,0
1,Alameda,2005,14,7,4,25,1
1,Alameda,2005,0,0,0,0,0
1,Alameda,2005,11,3,6,20,4
1,Alameda,2005,13,28,11,52,2
1,Alameda,2005,16,7,29,52,5
1,Alameda,2005,5,2,5,12,0
1,Alameda,2005,120,131,15,266,5
1,Alameda,2005,4,0,0,4,0
1,Alameda,2005,2,2,7,11,0
1,Alameda,2005,13,4,1,18,5
1,Alameda,2005,6,4,1,11,0
1,Alameda,2005,0,0,2,2,1
1,Alameda,2005,0,0,0,0,0
1,Alameda,2005,0,0,0,0,0
1,Alameda,2005,0,0,0,0,0
1,Alameda,2005,5,1,3,9,2
1,Alameda,2005,0,0,1,1,0
1,Alameda,2005,4,0,0,4,0
1,Alameda,2005,0,0,0,0,0
1,Alameda,2006,12,12,16,40,2
1,Alameda,2006,5,0,4,9,2
1,Alameda,2006,2,2,1,5,2
1,Alameda,2006,16,10,10,36,4
1,Alameda,2006,1,1,0,2,0
1,Alameda,2006,13,2,12,27,4
1,Alameda,2006,24,38,12,74,3
1,Alameda,2006,4,2,17,23,4
1,Alameda,2006,2,1,4,7,1
1,Alameda,2006,79,214,14,307,19
1,Alameda,2006,3,0,1,4,1
1,Alameda,2006,4,2,8,14,1
1,Alameda,2006,4,6,2,12,3
1,Alameda,2006,12,6,3,21,0
1,Alameda,2006,5,1,3,9,0
1,Alameda,2006,0,0,0,0,0
1,Alameda,2006,0,0,0,0,0
1,Alameda,2006,1,0,0,1,0
1,Alameda,2006,0,0,0,0,0
1,Alameda,2006,1,1,2,4,0
1,Alameda,2006,0,0,0,0,0
1,Alameda,2006,1,0,0,1,1
1,Alameda,2006,0,0,0,0,0
1,Alameda,2007,15,17,1,33,3
1,Alameda,2007,5,0,12,17,5
1,Alameda,2007,2,0,1,3,1
1,Alameda,2007,15,4,10,29,6
1,Alameda,2007,0,0,0,0,0
1,Alameda,2007,12,1,5,18,3
1,Alameda,2007,26,30,4,60,2
1,Alameda,2007,5,2,24,31,5
1,Alameda,2007,5,4,0,9,3
1,Alameda,2007,80,192,15,287,31
1,Alameda,2007,1,0,1,2,0
1,Alameda,2007,2,0,2,4,0
1,Alameda,2007,6,3,6,15,3
1,Alameda,2007,10,8,4,22,0
1,Alameda,2007,1,0,5,6,1
1,Alameda,2007,0,0,0,0,0
1,Alameda,2007,0,0,0,0,0
1,Alameda,2007,2,0,0,2,0
1,Alameda,2007,0,0,0,0,0
1,Alameda,2007,4,0,3,7,1
1,Alameda,2007,0,0,1,1,1
1,Alameda,2007,9,1,1,11,1
1,Alameda,2007,0,0,0,0,0
1,Alameda,2008,6,13,5,24,5
1,Alameda,2008,4,1,4,9,2
1,Alameda,2008,0,0,0,0,0
1,Alameda,2008,17,5,6,28,11
1,Alameda,2008,0,0,0,0,0
1,Alameda,2008,9,5,12,26,3
1,Alameda,2008,24,42,6,72,4
1,Alameda,2008,2,0,18,20,4
1,Alameda,2008,2,3,4,9,1
1,Alameda,2008,65,220,14,299,31
1,Alameda,2008,0,0,0,0,0
1,Alameda,2008,2,0,2,4,0
1,Alameda,2008,3,9,1,13,1
1,Alameda,2008,10,4,6,20,0
1,Alameda,2008,0,4,4,8,0
1,Alameda,2008,0,0,0,0,0
1,Alameda,2008,0,0,0,0,0
1,Alameda,2008,1,1,0,2,0
1,Alameda,2008,3,0,2,5,1
1,Alameda,2008,0,0,0,0,0
1,Alameda,2008,2,0,1,3,2
1,Alameda,2008,0,0,0,0,0
1,Alameda,2009,15,9,9,33,3
1,Alameda,2009,7,1,4,12,1
1,Alameda,2009,12,2,3,17,0
1,Alameda,2009,6,5,10,21,3
1,Alameda,2009,0,1,0,1,0
1,Alameda,2009,11,4,4,19,2
1,Alameda,2009,12,33,6,51,1
1,Alameda,2009,3,3,8,14,2
1,Alameda,2009,2,1,2,5,0
1,Alameda,2009,52,159,12,223,16
1,Alameda,2009,0,0,0,0,0
1,Alameda,2009,1,1,3,5,3
1,Alameda,2009,5,5,2,12,2
1,Alameda,2009,13,9,3,25,1
1,Alameda,2009,2,0,3,5,1
1,Alameda,2009,0,0,0,0,0
1,Alameda,2009,0,0,0,0,0
1,Alameda,2009,0,0,0,0,0
1,Alameda,2009,1,0,0,1,1
1,Alameda,2009,1,0,0,1,0
1,Alameda,2009,5,0,7,12,3
1,Alameda,2009,0,0,0,0,0
1,Alameda,2010,9,14,11,34,5
1,Alameda,2010,6,0,4,10,1
1,Alameda,2010,3,1,0,4,1
1,Alameda,2010,6,7,12,25,8
1,Alameda,2010,0,0,0,0,0
1,Alameda,2010,12,2,8,22,4
1,Alameda,2010,1,33,21,55,1
1,Alameda,2010,1,3,15,19,3
1,Alameda,2010,3,5,1,9,1
1,Alameda,2010,51,101,11,163,17
1,Alameda,2010,0,0,0,0,0
1,Alameda,2010,4,1,1,6,3
1,Alameda,2010,6,8,1,15,1
1,Alameda,2010,11,0,0,11,1
1,Alameda,2010,3,0,3,6,0
1,Alameda,2010,0,0,0,0,0
1,Alameda,2010,0,0,0,0,0
1,Alameda,2010,0,2,0,2,0
1,Alameda,2010,0,0,2,2,1
1,Alameda,2010,0,0,0,0,0
1,Alameda,2010,2,1,6,9,0
1,Alameda,2010,0,0,0,0,0
1,Alameda,2011,5,11,3,19,1
1,Alameda,2011,8,2,5,15,1
1,Alameda,2011,1,0,1,2,0
1,Alameda,2011,12,6,7,25,5
1,Alameda,2011,2,1,0,3,0
1,Alameda,2011,15,2,2,19,5
1,Alameda,2011,2,14,0,16,0
1,Alameda,2011,2,0,8,10,1
1,Alameda,2011,1,2,0,3,0
1,Alameda,2011,44,90,4,138,1
1,Alameda,2011,0,1,0,1,0
1,Alameda,2011,4,0,1,5,1
1,Alameda,2011,6,4,4,14,1
1,Alameda,2011,3,2,2,7,1
1,Alameda,2011,2,0,1,3,0
1,Alameda,2011,0,0,0,0,0
1,Alameda,2011,0,0,0,0,0
1,Alameda,2011,0,3,1,4,0
1,Alameda,2011,2,1,1,4,0
1,Alameda,2011,0,0,0,0,0
1,Alameda,2011,4,0,1,5,1
1,Alameda,2011,0,0,0,0,0
1,Alameda,2012,3,3,2,8,2
1,Alameda,2012,13,1,4,18,2
1,Alameda,2012,3,0,1,4,0
1,Alameda,2012,6,3,6,15,3
1,Alameda,2012,0,1,0,1,0
1,Alameda,2012,10,1,5,16,2
1,Alameda,2012,7,23,4,34,3
1,Alameda,2012,1,0,8,9,5
1,Alameda,2012,0,1,4,5,2
1,Alameda,2012,117,67,4,188,5
1,Alameda,2012,0,0,0,0,0
1,Alameda,2012,2,1,2,5,0
1,Alameda,2012,4,4,6,14,5
1,Alameda,2012,1,3,2,6,0
1,Alameda,2012,1,0,1,2,0
1,Alameda,2012,0,0,0,0,0
1,Alameda,2012,0,0,0,0,0
1,Alameda,2012,0,0,0,0,0
1,Alameda,2012,3,1,3,7,0
1,Alameda,2012,0,0,0,0,0
1,Alameda,2012,3,0,2,5,2
1,Alameda,2012,0,0,0,0,0
1,Alameda,2013,8,7,6,21,3
1,Alameda,2013,7,0,10,17,6
1,Alameda,2013,0,0,7,7,2
1,Alameda,2013,7,3,6,16,5
1,Alameda,2013,1,0,1,2,0
1,Alameda,2013,13,2,6,21,5
1,Alameda,2013,5,15,1,21,2
1,Alameda,2013,4,4,7,15,3
1,Alameda,2013,0,0,2,2,0
1,Alameda,2013,65,71,4,140,9
1,Alameda,2013,1,0,1,2,0
1,Alameda,2013,2,1,7,10,6
1,Alameda,2013,4,3,3,10,0
1,Alameda,2013,3,1,0,4,0
1,Alameda,2013,0,0,3,3,0
1,Alameda,2013,0,0,0,0,0
1,Alameda,2013,0,0,1,1,0
1,Alameda,2013,1,2,1,4,0
1,Alameda,2013,5,0,0,5,1
1,Alameda,2013,0,0,0,0,0
1,Alameda,2013,4,0,5,9,0
1,Alameda,2013,0,0,0,0,0
1,Alameda,2014,6,1,1,8,3
1,Alameda,2014,10,0,7,17,8
1,Alameda,2014,0,0,0,0,0
1,Alameda,2014,7,2,6,15,2
1,Alameda,2014,0,0,2,2,0
1,Alameda,2014,10,2,2,14,3
1,Alameda,2014,14,16,5,35,2
1,Alameda,2014,5,0,16,21,5
1,Alameda,2014,2,1,0,3,1
1,Alameda,2014,44,126,6,176,6
1,Alameda,2014,0,0,0,0,0
1,Alameda,2014,2,0,1,3,1
1,Alameda,2014,4,8,2,14,0
1,Alameda,2014,1,1,0,2,0
1,Alameda,2014,1,1,2,4,0
1,Alameda,2014,0,0,0,0,0
1,Alameda,2014,0,0,0,0,0
1,Alameda,2014,0,0,2,2,0
1,Alameda,2014,0,0,1,1,0
1,Alameda,2014,0,0,0,0,0
1,Alameda,2014,5,0,4,9,1
1,Alameda,2014,0,0,0,0,0
1,Alameda,2015,1,4,6,11,3
1,Alameda,2015,12,1,5,18,2
1,Alameda,2015,0,0,0,0,0
1,Alameda,2015,13,4,5,22,5
1,Alameda,2015,1,0,0,1,0
1,Alameda,2015,8,3,3,14,4
1,Alameda,2015,9,17,4,30,3
1,Alameda,2015,3,2,23,28,6
1,Alameda,2015,8,0,0,8,5
1,Alameda,2015,65,111,3,179,6
1,Alameda,2015,0,0,0,0,0
1,Alameda,2015,2,1,2,5,0
1,Alameda,2015,4,3,4,11,1
1,Alameda,2015,3,1,2,6,0
1,Alameda,2015,2,0,3,5,0
1,Alameda,2015,0,0,0,0,0
1,Alameda,2015,0,0,0,0,0
1,Alameda,2015,0,2,0,2,0
1,Alameda,2015,1,0,0,1,0
1,Alameda,2015,0,0,0,0,0
1,Alameda,2015,1,0,0,1,1
1,Alameda,2015,0,0,0,0,0
