ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT08,WT11,WT14,WT16,WT18
USC00048025,1931,5,19,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,2,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,20,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,21,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,22,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,23,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,24,,,,,8.0,,,,,,,,,,,,,,,
USC00048025,1931,5,25,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,26,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,27,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,28,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,29,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,3,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,30,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,31,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,4,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,5,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,6,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,7,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,8,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,5,9,,,,,0.0,,,,,,,,,,,,,,,
USC00048025,1931,6,1,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,10,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,11,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,12,,,,,0.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,13,,,,,124.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,14,,,,,175.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,15,,,,,89.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,16,,,,,20.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,17,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,18,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,19,,,,,0.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,2,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,20,,,,,15.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,21,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,22,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,23,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,24,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,25,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,6,26,,,,,0.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,27,,,,,0.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,6,28,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
