ID,YEAR,MONTH,DAY,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WDFG,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT05,WT07,WT08,WT09,WT10,WT16,WT18
USW00023136,1952,12,1,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,10,,,,0.0,0.0,0.0,,194.0,61.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,11,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,12,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,13,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,14,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,15,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,16,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,17,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,18,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,19,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,2,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,20,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,21,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,22,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,23,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,24,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,25,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,26,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,27,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,28,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,29,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,3,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,30,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,31,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,4,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,5,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,6,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,7,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,8,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1952,12,9,,,,0.0,0.0,0.0,,-9999.0,-9999.0,,,,,,,,,,,,,,,,,
USW00023136,1953,1,1,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,10,,,,0.0,0.0,0.0,,283.0,139.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,11,,,,0.0,0.0,0.0,,211.0,100.0,,,,,,,,1.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,12,,,,0.0,0.0,0.0,,144.0,128.0,,,,,,,,1.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,13,,,,0.0,0.0,0.0,,139.0,117.0,,,,,,,,1.0,,,,,1.0,,,1.0,
USW00023136,1953,1,14,,,,0.0,0.0,0.0,,144.0,50.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,15,,,,0.0,0.0,0.0,,189.0,39.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,16,,,,0.0,0.0,0.0,,189.0,39.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,17,,,,0.0,0.0,0.0,,156.0,33.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,18,,,,0.0,0.0,0.0,,161.0,72.0,,,,,,,,1.0,,,,,1.0,,,-9999.0,
USW00023136,1953,1,19,,,,0.0,0.0,0.0,,150.0,100.0,,,,,,,,1.0,,,,,1.0,,,-9999.0,
USW00023136,1953,1,2,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,20,,,,0.0,0.0,0.0,,156.0,100.0,,,,,,,,1.0,,,,,1.0,,,-9999.0,
USW00023136,1953,1,21,,,,0.0,0.0,0.0,,167.0,72.0,,,,,,,,1.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,22,,,,0.0,0.0,0.0,,239.0,122.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,23,,,,0.0,0.0,0.0,,289.0,167.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,24,,,,0.0,0.0,0.0,,206.0,100.0,,,,,,,,-9999.0,,,,,1.0,,,-9999.0,
USW00023136,1953,1,25,,,,0.0,0.0,0.0,,172.0,61.0,,,,,,,,1.0,,,,,1.0,,,-9999.0,
USW00023136,1953,1,26,,,,0.0,0.0,0.0,,172.0,28.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,27,,,,0.0,0.0,0.0,,244.0,22.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,28,,,,0.0,0.0,0.0,,256.0,39.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,29,,,,0.0,0.0,0.0,,267.0,72.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,3,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,30,,,,0.0,0.0,0.0,,294.0,89.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,31,,,,0.0,0.0,0.0,,289.0,94.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,4,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,5,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,6,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,7,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,8,,,,-9999.0,-9999.0,0.0,,-9999.0,-9999.0,,,,,,,,-9999.0,,,,,-9999.0,,,-9999.0,
USW00023136,1953,1,9,,,,0.0,0.0,0.0,,233.0,128.0,,,,,,,,1.0,,,,,1.0,,,1.0,
USW00023136,1953,2,1,,,,0.0,0.0,0.0,,233.0,72.0,,,,,,,,-9999.0,,,,,-9999.0,,,,
USW00023136,1953,2,10,,,,0.0,0.0,0.0,,194.0,39.0,,,,,,,,-9999.0,,,,,-9999.0,,,,
USW00023136,1953,2,11,,,,0.0,0.0,0.0,,189.0,17.0,,,,,,,,-9999.0,,,,,-9999.0,,,,
USW00023136,1953,2,12,,,,0.0,0.0,0.0,,211.0,17.0,,,,,,,,-9999.0,,,,,-9999.0,,,,
USW00023136,1953,2,13,,,,0.0,0.0,0.0,,222.0,50.0,,,,,,,,-9999.0,,,,,-9999.0,,,,
