ID,YEAR,MONTH,DAY,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08,WT16
USW00023275,1949,9,1,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,10,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,11,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,12,,,,0.0,0.0,0.0,,306.0,67.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,13,,,,0.0,0.0,0.0,,328.0,83.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,14,,,,0.0,0.0,0.0,,322.0,72.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,15,,,,0.0,0.0,0.0,,294.0,122.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,16,,,,0.0,0.0,0.0,,283.0,111.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,17,,,,0.0,0.0,0.0,,350.0,72.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,18,,,,0.0,0.0,0.0,,378.0,72.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,19,,,,0.0,0.0,0.0,,372.0,78.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,2,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,20,,,,0.0,0.0,0.0,,394.0,100.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,21,,,,0.0,0.0,0.0,,389.0,89.0,,,,,,,,-9999.0,1.0,
USW00023275,1949,9,22,,,,0.0,0.0,0.0,,394.0,106.0,,,,,,,,-9999.0,1.0,
USW00023275,1949,9,23,,,,0.0,0.0,0.0,,356.0,78.0,,,,,,,,-9999.0,1.0,
USW00023275,1949,9,24,,,,0.0,0.0,0.0,,261.0,78.0,,,,,,,,-9999.0,1.0,
USW00023275,1949,9,25,,,,0.0,0.0,0.0,,272.0,89.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,26,,,,0.0,0.0,0.0,,283.0,83.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,27,,,,0.0,0.0,0.0,,261.0,89.0,,,,,,,,1.0,-9999.0,
USW00023275,1949,9,28,,,,0.0,0.0,0.0,,256.0,89.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,29,,,,0.0,0.0,0.0,,283.0,78.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,3,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,30,,,,0.0,0.0,0.0,,322.0,83.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,31,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,4,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,5,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,6,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,7,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,8,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,9,9,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,
USW00023275,1949,10,1,,,,0.0,0.0,0.0,,339.0,72.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,10,,,,3.0,0.0,0.0,,256.0,111.0,,,,,,1.0,,,,1.0
USW00023275,1949,10,11,,,,0.0,0.0,0.0,,300.0,78.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,12,,,,0.0,0.0,0.0,,300.0,100.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,13,,,,0.0,0.0,0.0,,311.0,61.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,14,,,,0.0,0.0,0.0,,328.0,56.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,15,,,,0.0,0.0,0.0,,339.0,72.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,16,,,,0.0,0.0,0.0,,294.0,61.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,17,,,,0.0,0.0,0.0,,167.0,22.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,18,,,,0.0,0.0,0.0,,144.0,11.0,,,,,,-9999.0,,,,1.0
USW00023275,1949,10,19,,,,0.0,0.0,0.0,,172.0,-33.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,2,,,,0.0,0.0,0.0,,322.0,72.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,20,,,,0.0,0.0,0.0,,217.0,-22.0,,,,,,-9999.0,,,,-9999.0
USW00023275,1949,10,21,,,,0.0,0.0,0.0,,256.0,-11.0,,,,,,-9999.0,,,,-9999.0
