ID,YEAR,MONTH,DAY,DAEV,DAWM,EVAP,MDEV,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01,WT03,WT05,WT08
USC00042319,1961,4,1,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,10,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,11,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,12,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,13,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,14,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,15,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,16,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,17,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,18,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,19,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,2,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,20,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,21,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,22,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,23,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,24,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,25,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,26,,,,,,,,0.0,0.0,0.0,317.0,150.0,306.0,98.0,,,,
USC00042319,1961,4,27,,,,,,,,0.0,0.0,0.0,339.0,178.0,333.0,117.0,,,,
USC00042319,1961,4,28,,,,,,,,0.0,0.0,0.0,361.0,161.0,356.0,51.0,,,,
USC00042319,1961,4,29,,,,,,,,0.0,0.0,0.0,400.0,178.0,383.0,100.0,,,,
USC00042319,1961,4,3,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,30,,,,,,,,0.0,0.0,0.0,389.0,228.0,378.0,177.0,,,,
USC00042319,1961,4,31,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,4,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,5,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,6,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,7,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,8,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,4,9,,,,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
USC00042319,1961,5,1,-9999.0,-9999.0,191.0,-9999.0,-9999.0,,,0.0,0.0,0.0,400.0,217.0,383.0,148.0,,,,
USC00042319,1961,5,10,2.0,-9999.0,-9999.0,368.0,-9999.0,,,0.0,0.0,0.0,394.0,256.0,372.0,380.0,,,,
USC00042319,1961,5,11,-9999.0,-9999.0,267.0,-9999.0,-9999.0,,,0.0,0.0,0.0,378.0,211.0,322.0,420.0,,,,
USC00042319,1961,5,12,-9999.0,-9999.0,236.0,-9999.0,-9999.0,,,0.0,0.0,0.0,322.0,178.0,217.0,398.0,,,,
USC00042319,1961,5,13,-9999.0,-9999.0,135.0,-9999.0,-9999.0,,,0.0,0.0,0.0,333.0,194.0,322.0,295.0,,,,
USC00042319,1961,5,14,-9999.0,-9999.0,152.0,-9999.0,-9999.0,,,0.0,0.0,0.0,356.0,217.0,356.0,121.0,,,,
USC00042319,1961,5,15,-9999.0,-9999.0,163.0,-9999.0,-9999.0,,,0.0,0.0,0.0,367.0,250.0,356.0,140.0,,,,
USC00042319,1961,5,16,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,0.0,0.0,0.0,378.0,217.0,372.0,98.0,,,,
USC00042319,1961,5,17,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,0.0,0.0,0.0,383.0,256.0,378.0,77.0,,,,
USC00042319,1961,5,18,3.0,-9999.0,-9999.0,495.0,-9999.0,,,0.0,0.0,0.0,389.0,267.0,378.0,285.0,,,,
USC00042319,1961,5,19,-9999.0,-9999.0,305.0,-9999.0,-9999.0,,,0.0,0.0,0.0,394.0,244.0,306.0,319.0,,,,
USC00042319,1961,5,2,-9999.0,-9999.0,218.0,-9999.0,-9999.0,,,0.0,0.0,0.0,389.0,228.0,361.0,233.0,,,,
USC00042319,1961,5,20,-9999.0,-9999.0,117.0,-9999.0,-9999.0,,,0.0,0.0,0.0,356.0,183.0,350.0,243.0,,,,
USC00042319,1961,5,21,-9999.0,-9999.0,170.0,-9999.0,-9999.0,,,0.0,0.0,0.0,378.0,250.0,372.0,246.0,,,,
USC00042319,1961,5,22,-9999.0,-9999.0,165.0,-9999.0,-9999.0,,,0.0,0.0,0.0,383.0,256.0,383.0,117.0,,,,
USC00042319,1961,5,23,-9999.0,-9999.0,206.0,-9999.0,-9999.0,,,0.0,0.0,0.0,383.0,239.0,356.0,217.0,,,,
USC00042319,1961,5,24,-9999.0,-9999.0,191.0,-9999.0,-9999.0,,,0.0,0.0,0.0,383.0,244.0,378.0,182.0,,,,
USC00042319,1961,5,25,-9999.0,-9999.0,259.0,-9999.0,-9999.0,,,0.0,0.0,0.0,394.0,256.0,394.0,204.0,,,,
USC00042319,1961,5,26,-9999.0,-9999.0,305.0,-9999.0,-9999.0,,,0.0,0.0,0.0,400.0,256.0,367.0,319.0,,,,
USC00042319,1961,5,27,-9999.0,-9999.0,183.0,-9999.0,-9999.0,,,0.0,0.0,0.0,372.0,228.0,361.0,262.0,,,,
USC00042319,1961,5,28,-9999.0,-9999.0,216.0,-9999.0,-9999.0,,,0.0,0.0,0.0,350.0,244.0,339.0,291.0,,,,
USC00042319,1961,5,29,-9999.0,-9999.0,229.0,-9999.0,-9999.0,,,0.0,0.0,0.0,344.0,228.0,328.0,351.0,,,,
USC00042319,1961,5,3,-9999.0,-9999.0,119.0,-9999.0,-9999.0,,,0.0,0.0,0.0,367.0,189.0,344.0,21.0,,,,
USC00042319,1961,5,30,-9999.0,-9999.0,170.0,-9999.0,-9999.0,,,0.0,0.0,0.0,339.0,206.0,333.0,156.0,,,,
USC00042319,1961,5,31,-9999.0,-9999.0,221.0,-9999.0,-9999.0,,,0.0,0.0,0.0,344.0,222.0,306.0,410.0,,,,
USC00042319,1961,5,4,-9999.0,-9999.0,124.0,-9999.0,-9999.0,,,0.0,0.0,0.0,350.0,206.0,322.0,283.0,,,,
USC00042319,1961,5,5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,0.0,0.0,0.0,339.0,183.0,-9999.0,-9999.0,,,,
USC00042319,1961,5,6,2.0,2.0,-9999.0,343.0,515.0,,,0.0,0.0,0.0,317.0,178.0,283.0,-9999.0,,,,
USC00042319,1961,5,7,-9999.0,-9999.0,163.0,-9999.0,-9999.0,,,3.0,0.0,0.0,317.0,161.0,306.0,93.0,,,,
USC00042319,1961,5,8,-9999.0,-9999.0,86.0,-9999.0,-9999.0,,,0.0,0.0,0.0,350.0,150.0,350.0,84.0,,,,
USC00042319,1961,5,9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,0.0,0.0,0.0,400.0,178.0,394.0,140.0,,,,
USC00042319,1961,6,1,,,157.0,,,,,0.0,0.0,0.0,317.0,183.0,278.0,188.0,,,,-9999.0
USC00042319,1961,6,10,,,173.0,,,,,0.0,0.0,0.0,422.0,244.0,422.0,129.0,,,,-9999.0
USC00042319,1961,6,11,,,203.0,,,,,0.0,0.0,0.0,428.0,300.0,417.0,169.0,,,,-9999.0
USC00042319,1961,6,12,,,191.0,,,,,0.0,0.0,0.0,433.0,272.0,433.0,169.0,,,,-9999.0
USC00042319,1961,6,13,,,173.0,,,,,0.0,0.0,0.0,467.0,294.0,461.0,82.0,,,,1.0
USC00042319,1961,6,14,,,236.0,,,,,0.0,0.0,0.0,478.0,328.0,472.0,143.0,,,,-9999.0
USC00042319,1961,6,15,,,292.0,,,,,0.0,0.0,0.0,483.0,339.0,472.0,235.0,,,,-9999.0
USC00042319,1961,6,16,,,229.0,,,,,0.0,0.0,0.0,489.0,322.0,483.0,68.0,,,,-9999.0
USC00042319,1961,6,17,,,198.0,,,,,0.0,0.0,0.0,494.0,344.0,483.0,27.0,,,,-9999.0
USC00042319,1961,6,18,,,229.0,,,,,0.0,0.0,0.0,489.0,344.0,489.0,220.0,,,,-9999.0
USC00042319,1961,6,19,,,191.0,,,,,0.0,0.0,0.0,506.0,306.0,500.0,58.0,,,,-9999.0
USC00042319,1961,6,2,,,109.0,,,,,0.0,0.0,0.0,339.0,200.0,339.0,204.0,,,,-9999.0
USC00042319,1961,6,20,,,163.0,,,,,0.0,0.0,0.0,517.0,333.0,506.0,79.0,,,,-9999.0
USC00042319,1961,6,21,,,231.0,,,,,0.0,0.0,0.0,517.0,328.0,506.0,126.0,,,,-9999.0
USC00042319,1961,6,22,,,284.0,,,,,0.0,0.0,0.0,511.0,378.0,494.0,232.0,,,,-9999.0
USC00042319,1961,6,23,,,236.0,,,,,0.0,0.0,0.0,506.0,367.0,506.0,140.0,,,,-9999.0
USC00042319,1961,6,24,,,175.0,,,,,0.0,0.0,0.0,511.0,361.0,506.0,127.0,,,,-9999.0
USC00042319,1961,6,25,,,191.0,,,,,0.0,0.0,0.0,511.0,350.0,472.0,80.0,,,,-9999.0
USC00042319,1961,6,26,,,239.0,,,,,0.0,0.0,0.0,489.0,339.0,483.0,188.0,,,,-9999.0
USC00042319,1961,6,27,,,226.0,,,,,0.0,0.0,0.0,489.0,339.0,467.0,230.0,,,,-9999.0
USC00042319,1961,6,28,,,241.0,,,,,0.0,0.0,0.0,472.0,328.0,456.0,296.0,,,,-9999.0
USC00042319,1961,6,29,,,279.0,,,,,0.0,0.0,0.0,456.0,311.0,428.0,280.0,,,,-9999.0
USC00042319,1961,6,3,,,132.0,,,,,0.0,0.0,0.0,383.0,233.0,372.0,103.0,,,,-9999.0
USC00042319,1961,6,30,,,191.0,,,,,0.0,0.0,0.0,450.0,272.0,444.0,122.0,,,,-9999.0
USC00042319,1961,6,31,,,-9999.0,,,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,-9999.0
USC00042319,1961,6,4,,,191.0,,,,,0.0,0.0,0.0,400.0,272.0,389.0,60.0,,,,-9999.0
USC00042319,1961,6,5,,,226.0,,,,,0.0,0.0,0.0,411.0,283.0,406.0,145.0,,,,-9999.0
USC00042319,1961,6,6,,,198.0,,,,,0.0,0.0,0.0,411.0,278.0,406.0,319.0,,,,-9999.0
USC00042319,1961,6,7,,,-9999.0,,,,,0.0,0.0,0.0,411.0,267.0,406.0,227.0,,,,-9999.0
USC00042319,1961,6,8,,,231.0,,,,,0.0,0.0,0.0,417.0,300.0,411.0,243.0,,,,-9999.0
USC00042319,1961,6,9,,,343.0,,,,,0.0,0.0,0.0,417.0,272.0,394.0,256.0,,,,-9999.0
