ID,YEAR,MONTH,DAY,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
USC00044405,1959,8,21,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,22,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,23,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,24,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,25,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,26,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,27,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,28,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,29,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,3,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,30,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,31,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,4,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,5,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,6,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,7,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,8,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,8,9,,,0.0,0.0,0.0,,,,,,,,,,
USC00044405,1959,9,1,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,10,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,11,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,12,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,13,,,168.0,0.0,0.0,,,,,,,1.0,,,
USC00044405,1959,9,14,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,15,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,16,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,17,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,18,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
USC00044405,1959,9,19,,,0.0,0.0,0.0,,,,,,,-9999.0,,,
