ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT08,WT11,WT16,WT18
USC00045598,1942,4,12,,,,,-9999.0,,,,,,1.0,,,,,-9999.0,
USC00045598,1942,4,13,,,,,0.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,14,,,,,508.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,15,,,,,33.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,16,,,,,3.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,17,,,,,147.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,18,,,,,81.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,19,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,2,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,20,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,21,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,22,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,23,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,24,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,25,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,26,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,27,,,,,-9999.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,28,,,,,18.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,29,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,3,,,,,74.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,30,,,,,8.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,31,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,4,,,,,328.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,5,,,,,384.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1942,4,6,,,,,64.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,7,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,8,,,,,-9999.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,4,9,,,,,15.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1942,5,1,,,,,178.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,10,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,11,,,,,97.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,12,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,13,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,14,,,,,18.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,15,,,,,79.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,16,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,17,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,18,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,19,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,2,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,20,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,21,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,22,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,23,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,24,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,25,,,,,323.0,,,,,,,,,,,1.0,
USC00045598,1942,5,26,,,,,10.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,27,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,28,,,,,10.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,29,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,3,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,30,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,31,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,4,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,5,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,6,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,7,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,8,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,5,9,,,,,0.0,,,,,,,,,,,-9999.0,
USC00045598,1942,6,1,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,10,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,11,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,12,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,13,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,14,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,15,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,16,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,17,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,18,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,19,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,2,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,20,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,21,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,22,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,23,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,24,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,25,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,26,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,27,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,28,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,29,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,3,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,30,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,31,,,,,-9999.0,,,,,,,,,,,,
USC00045598,1942,6,4,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,5,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,6,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,7,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,8,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,6,9,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,1,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,10,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,11,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,12,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,13,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,14,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,15,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,16,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,17,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,18,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,19,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,2,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,20,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,21,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,22,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,23,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,24,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,25,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,26,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,27,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,28,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,29,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,3,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,30,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,31,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,4,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,5,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,6,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,7,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,8,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,7,9,,,,,0.0,,,,,,,,,,,,
USC00045598,1942,8,1,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,10,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,11,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,12,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,13,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,14,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,15,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,16,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,17,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,18,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,19,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,2,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,20,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,21,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,22,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,23,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,24,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,25,,,,,0.0,,,,,,1.0,,,,,,
USC00045598,1942,8,26,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,27,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,28,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,29,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,3,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,30,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,31,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,4,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,5,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,6,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,7,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,8,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,8,9,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,1,,,,,0.0,,,,,,-9999.0,,,,,,
USC00045598,1942,9,10,,,,,0.0,,,,,,-9999.0,,,,,,
