ID,YEAR,MONTH,DAY,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14
USC00040673,1973,2,1,0.0,0.0,0.0,156.0,-6.0,122.0,,,,,,
USC00040673,1973,2,10,422.0,0.0,0.0,133.0,78.0,106.0,,,,,,
USC00040673,1973,2,11,429.0,0.0,0.0,139.0,72.0,111.0,,,,,,
USC00040673,1973,2,12,231.0,0.0,0.0,117.0,61.0,83.0,,,,,,
USC00040673,1973,2,13,244.0,0.0,0.0,144.0,78.0,111.0,,,,,,
USC00040673,1973,2,14,198.0,0.0,0.0,156.0,78.0,100.0,,,,,,
USC00040673,1973,2,15,8.0,0.0,0.0,189.0,28.0,133.0,,,,,,
USC00040673,1973,2,16,0.0,0.0,0.0,189.0,17.0,106.0,,,,,,
USC00040673,1973,2,17,0.0,0.0,0.0,200.0,22.0,161.0,,,,,,
USC00040673,1973,2,18,0.0,0.0,0.0,200.0,17.0,139.0,,,,,,
USC00040673,1973,2,19,0.0,0.0,0.0,228.0,-11.0,172.0,,,,,,
USC00040673,1973,2,2,5.0,0.0,0.0,144.0,33.0,100.0,,,,,,
USC00040673,1973,2,20,0.0,0.0,0.0,244.0,11.0,200.0,,,,,,
USC00040673,1973,2,21,0.0,0.0,0.0,217.0,28.0,156.0,,,,,,
USC00040673,1973,2,22,0.0,0.0,0.0,183.0,11.0,128.0,,,,,,
USC00040673,1973,2,23,0.0,0.0,0.0,178.0,50.0,128.0,,,,,,
USC00040673,1973,2,24,246.0,0.0,0.0,156.0,94.0,133.0,,,,,,
USC00040673,1973,2,25,0.0,0.0,0.0,178.0,94.0,144.0,,,,,,
USC00040673,1973,2,26,541.0,0.0,0.0,161.0,89.0,128.0,,,,,,
USC00040673,1973,2,27,452.0,0.0,0.0,139.0,106.0,117.0,,,,,,
USC00040673,1973,2,28,257.0,0.0,0.0,161.0,89.0,150.0,,,,,,
USC00040673,1973,2,29,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00040673,1973,2,3,406.0,0.0,0.0,106.0,39.0,83.0,,,,,,
USC00040673,1973,2,30,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00040673,1973,2,31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00040673,1973,2,4,239.0,0.0,0.0,139.0,83.0,117.0,,,,,,
USC00040673,1973,2,5,3.0,0.0,0.0,156.0,44.0,122.0,,,,,,
USC00040673,1973,2,6,767.0,0.0,0.0,122.0,94.0,111.0,,,,,,
USC00040673,1973,2,7,117.0,0.0,0.0,172.0,89.0,128.0,,,,,,
USC00040673,1973,2,8,5.0,0.0,0.0,156.0,78.0,117.0,,,,,,
USC00040673,1973,2,9,277.0,0.0,0.0,122.0,72.0,106.0,,,,,,
USC00040673,1973,3,1,0.0,0.0,0.0,183.0,83.0,139.0,,,,,,
USC00040673,1973,3,10,13.0,0.0,0.0,156.0,67.0,117.0,,,,,,
USC00040673,1973,3,11,51.0,0.0,0.0,150.0,39.0,128.0,,,,,,
USC00040673,1973,3,12,0.0,0.0,0.0,194.0,50.0,150.0,,,,,,
USC00040673,1973,3,13,0.0,0.0,0.0,172.0,67.0,117.0,,,,,,
USC00040673,1973,3,14,0.0,0.0,0.0,178.0,28.0,156.0,,,,,,
USC00040673,1973,3,15,0.0,0.0,0.0,200.0,-11.0,161.0,,,,,,
USC00040673,1973,3,16,0.0,0.0,0.0,172.0,17.0,122.0,,,,,,
USC00040673,1973,3,17,0.0,0.0,0.0,144.0,50.0,89.0,,,,,,
USC00040673,1973,3,18,0.0,0.0,0.0,178.0,-17.0,161.0,,,,,,
USC00040673,1973,3,19,231.0,0.0,0.0,167.0,28.0,83.0,,,,,,
