ID,YEAR,MONTH,DAY,AWND,DAPR,FMTM,FRGT,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,THIC,TMAX,TMIN,TOBS,WDF1,WDFG,WDFM,WESD,WSF1,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT14,WT16,WT18
USC00045983,1948,4,1,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,10,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,11,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,12,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,13,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,14,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,15,,,,,,,,201.0,0.0,0.0,,94.0,17.0,,,,,,,,,1.0,,,,,,,,,,1.0,-9999.0
USC00045983,1948,4,16,,,,,,,,84.0,0.0,0.0,,128.0,56.0,,,,,,,,,1.0,,,,,,,,,,1.0,-9999.0
USC00045983,1948,4,17,,,,,,,,3.0,0.0,0.0,,117.0,11.0,,,,,,,,,-9999.0,,,,,,,,,,1.0,-9999.0
USC00045983,1948,4,18,,,,,,,,0.0,0.0,0.0,,172.0,-17.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,19,,,,,,,,0.0,0.0,0.0,,206.0,-11.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,2,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,20,,,,,,,,0.0,0.0,0.0,,183.0,11.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,21,,,,,,,,150.0,3.0,0.0,,78.0,-6.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0
USC00045983,1948,4,22,,,,,,,,33.0,0.0,0.0,,94.0,0.0,,,,,,,,,1.0,,,,,,,,,,1.0,-9999.0
USC00045983,1948,4,23,,,,,,,,0.0,0.0,0.0,,117.0,11.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,24,,,,,,,,3.0,0.0,0.0,,128.0,-28.0,,,,,,,,,-9999.0,,,,,,,,,,1.0,-9999.0
USC00045983,1948,4,25,,,,,,,,0.0,0.0,0.0,,128.0,17.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,26,,,,,,,,0.0,0.0,0.0,,106.0,-11.0,,,,,,,,,-9999.0,,,,,,,,,,1.0,1.0
USC00045983,1948,4,27,,,,,,,,81.0,71.0,0.0,,50.0,-11.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0
USC00045983,1948,4,28,,,,,,,,389.0,119.0,127.0,,44.0,-11.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0
USC00045983,1948,4,29,,,,,,,,58.0,112.0,203.0,,0.0,-28.0,,,,,,,,,1.0,,,,,,,,,,-9999.0,1.0
USC00045983,1948,4,3,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,30,,,,,,,,23.0,69.0,76.0,,61.0,-11.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0
USC00045983,1948,4,31,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,4,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,5,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,6,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,7,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
USC00045983,1948,4,8,,,,,,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,,,,,,,,,-9999.0,,,,,,,,,,-9999.0,-9999.0
