ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
USC00041990,1959,5,1,,,,,56.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,10,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,11,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,12,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,13,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,14,,,,,114.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,15,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,16,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,17,,,,,18.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,18,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,19,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,2,,,,,8.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,20,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,21,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,22,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,23,,,,,23.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,24,,,,,216.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,25,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,26,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,27,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,28,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,29,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,3,,,,,20.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,30,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,31,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,4,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,5,,,,,79.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,6,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,7,,,,,0.0,0.0,0.0,,,,,,,,,
USC00041990,1959,5,8,,,,,0.0,0.0,0.0,,,,,,,,,
