,GRID_ID,YEAR,MONTH,COUNTYFP,GRID_AREA,COUNTY_ARE,Y_bin,Y_fire_class_size,Y_fire_count,Fire_area,Y_fire_area_prop,elev_mean,elev_std,elev_media,elev_max,elev_min,elev_range,pl_count,total_pl_length,road_count,total_road_length,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT,COUNTY_AREA,POPDENSITY,POPDENSITY_MALE,POPDENSITY_FEM,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared,Unemployment,medianHHI2018,adj_fire_count,adj_fire_bcount,10 metre U wind component hrs:0,10 metre V wind component hrs:0,2 metre dewpoint temperature hrs:0,2 metre temperature hrs:0,"Leaf area index, high vegetation hrs:0","Leaf area index, low vegetation hrs:0",Surface pressure hrs:0,Total precipitation hrs:0,10 metre U wind component hrs:6,10 metre V wind component hrs:6,2 metre dewpoint temperature hrs:6,2 metre temperature hrs:6,"Leaf area index, high vegetation hrs:6","Leaf area index, low vegetation hrs:6",Surface pressure hrs:6,Total precipitation hrs:6,10 metre U wind component hrs:12,10 metre V wind component hrs:12,2 metre dewpoint temperature hrs:12,2 metre temperature hrs:12,"Leaf area index, high vegetation hrs:12","Leaf area index, low vegetation hrs:12",Surface pressure hrs:12,Total precipitation hrs:12,10 metre U wind component hrs:18,10 metre V wind component hrs:18,2 metre dewpoint temperature hrs:18,2 metre temperature hrs:18,"Leaf area index, high vegetation hrs:18","Leaf area index, low vegetation hrs:18",Surface pressure hrs:18,Total precipitation hrs:18
count,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,34545.0,34545.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0,35733.0
mean,75.90210729577701,2004.5030084235862,6.515238015279993,56.321971287045585,4537279552.138043,22191387490.37977,0.10847116111157754,0.22822041250384797,0.18786555844737357,4005290.2423853436,0.0008195625865928591,3320.1491395679964,1149.2010878690473,3178.1980242353006,6932.123247418353,935.037920129852,5997.085327288501,57.05969272101419,1063831.0477305828,58.458175915820114,1101413.4245991425,38.7530378081885,37.60049254190805,40.05633168219853,15.93098875827289,13.717923241990661,24.266437417805196,21.58075254832205,10.154782923561303,22191387490.379776,85.65088488995208,42.4330238385192,43.217861051432905,137.43198164161979,134.8674054795287,161.53785016651275,433.83723728766125,49.029776397167886,0.11750354014496406,61774.591330143005,1.3083492201338491,0.901692616256229,1.2788689424045174,0.25041978741265153,275.6558599829795,291.6701707494254,2.348557981296329,1.1936211969103325,91611.56331413267,0.0017390051183168158,0.2844404897958991,-0.02402627486650076,276.8248006207008,285.2315246965461,2.348557981296329,1.1936211969103325,91711.94229428766,0.0004156220751173313,0.04764507836667734,-0.16514966609095358,276.20253005023244,282.3634119817302,2.348557981296329,1.1936211969103325,91654.92957599739,0.0008217999342361432,0.48714194659602855,0.2171506944579799,275.6323034629015,289.4335389380106,2.348557981296329,1.1936211969103325,91770.39208021773,0.0012350614236458174
std,46.59735555242288,8.632085469136063,3.4447021872046366,31.009200073638535,1117092448.4299054,19652931194.030025,0.31097889754936925,0.7542161529523256,0.7657057076824831,44174854.59671109,0.009035686104015653,2550.8516862647507,558.3284844132622,2197.228700307952,3145.6836079426234,1338.3778749719932,2667.3698286471754,105.04915632973982,1047560.8696455752,82.99429480726961,1036138.1522206585,6.237784979943089,6.224781589419881,6.287901845196402,31.69434249371054,27.806251875094844,50.473390237829676,43.949854967175284,20.472803620566566,19652931194.030025,174.1170008920373,85.91817794023864,88.20248110742291,346.5516770553898,367.37436908643747,404.3350468681533,1093.236295485073,91.28439621189186,0.03501831124608999,16041.591562504005,3.2473315366503037,1.4814215929722643,1.2337443516903586,1.0534780468858012,5.780277084942669,8.826249684609245,1.3538526904178154,0.6930525347939028,6254.672775248777,0.0027364614516095127,1.0529841242891194,0.8403817376425222,5.949850003549663,7.863329818282276,1.3538526904178154,0.6930525347939028,6259.06994385435,0.0006829483802102716,0.9405375778709105,0.7472453574098223,6.0037006070122,6.88802948978418,1.3538526904178154,0.6930525347939028,6262.900417948869,0.0013511114749009455,0.8262543611356961,0.8011469901247671,5.599808053616724,8.440839450738752,1.3538526904178154,0.6930525347939028,6274.745857315179,0.0020259457405530966
min,0.0,1990.0,1.0,1.0,932505257.4059505,2562527911.876198,0.0,0.0,0.0,0.0,0.0,36.480643539467074,49.813655799759594,10.0,260.0,-280.0,260.0,0.0,0.0,0.0,0.0,29.6,28.7,30.5,0.0665882209067658,0.04753245577859113,0.09123151006270074,0.1201332318090762,0.08601111045649823,2562527911.876198,0.4348745109328552,0.2189948986665453,0.21556321599128606,0.0,0.0,0.0,0.0,0.0,0.024,40680.0,0.0,0.0,-1.7924422672816684,-4.622040430704753,258.3077511257595,267.600830078125,0.0,0.024249267578125,73551.52083333333,5.267719768112113e-07,-2.4070432662963865,-5.491343180338542,256.87451171875,263.40333658854166,0.0,0.024249267578125,73621.8,0.0,-2.4390384674072267,-5.439233462015788,254.80765075683593,261.40704752604165,0.0,0.024249267578125,73537.5625,1.714897621241107e-07,-2.016808191935221,-3.8297901153564453,256.1663319905599,263.8081868489583,0.0,0.024249267578125,73622.7125,3.3208120460888796e-07
25%,37.0,1997.0,4.0,29.0,5000732814.98195,7492856177.350816,0.0,0.0,0.0,0.0,0.0,1090.7709311964634,732.7719660077566,1400.0,4120.0,20.0,3900.0,6.0,232138.89081724538,8.0,418030.27513703523,33.7,32.8,34.7,0.23004338435797825,0.2493939683222844,0.5569767291027272,0.5017501979176425,0.35965382710690313,7492856177.350816,1.640143709876765,1.053602561988754,0.7649812481631696,3.0,1.0,2.0,6.0,2.0,0.09699999999999999,51386.0,0.0,0.0,0.3537823994954427,-0.3489011219569615,271.3074497767857,285.4405226934524,1.708642578125,0.5403340657552084,87678.96527777778,0.000123075817850804,-0.37369664510091144,-0.4778969446818034,272.5195521763393,279.8903401692708,1.708642578125,0.5403340657552084,87779.82142857143,1.3441096719664832e-05,-0.6237272535051618,-0.5971931457519531,272.013134765625,277.75823567708335,1.708642578125,0.5403340657552084,87705.72916666667,3.286537397949966e-05,-0.08508499690464565,-0.2680964061192104,271.5686442057292,283.22377232142856,1.708642578125,0.5403340657552084,87816.26388888889,5.682434111804468e-05
50%,66.0,2004.0,7.0,53.0,5041000000.0,17388082454.956245,0.0,0.0,0.0,0.0,0.0,2297.551639407203,1038.678743710476,3040.0,7040.0,270.0,5920.0,17.0,787451.2021703268,27.0,737200.7139626064,37.1,35.9,38.8,5.686397508560819,4.110835240926871,6.040157118416769,5.1375050156472355,2.340185576464379,17388082454.956245,22.91692952416605,11.476733874042818,11.440195650123234,25.0,12.0,23.0,63.0,11.0,0.121,56169.0,0.0,0.0,1.0756775538126628,0.24908506302606492,275.80947265625,291.30681966145835,2.517645066784274,1.0887552897135417,91694.35416666667,0.0006263686992887025,0.1724103047297551,-0.0064160483224051336,277.2394810267857,285.01416015625,2.517645066784274,1.0887552897135417,91807.3375,0.00012195571824642164,-0.009430422101702009,-0.1446622031075614,276.5942362467448,282.2346609933036,2.517645066784274,1.0887552897135417,91763.99107142857,0.00024732554805463483,0.38540210723876955,0.21217370916295936,275.76846400669643,289.378662109375,2.517645066784274,1.0887552897135417,91894.85833333334,0.00038643445299157975
75%,120.0,2012.0,10.0,79.0,5041000000.0,29419021778.687714,0.0,0.0,0.0,0.0,0.0,5244.375073903276,1540.2590419191015,4560.0,8920.0,1600.0,7720.0,62.0,1591627.232232034,75.0,1461449.9092128784,45.4,44.1,46.6,10.217747300976804,7.494270590621368,16.026582357817304,18.466296950828887,8.772234986098075,29419021778.687717,64.57857838812549,31.75050933436079,32.82806905376471,164.0,131.0,126.0,479.0,60.0,0.145,67986.0,1.6,1.3333333333333333,2.0258925755818686,0.8563206536429269,280.06261393229164,298.28448660714287,3.3558785574776784,1.7226409912109375,97283.22321428571,0.0021235269135407484,0.8076567513602121,0.46270593007405597,281.23182198660714,290.75628255208335,3.3558785574776784,1.7226409912109375,97351.4175,0.0005107181354105705,0.6296095439365932,0.2971492767333984,280.52219935825894,287.2234700520833,3.3558785574776784,1.7226409912109375,97275.32142857143,0.0009963613798997055,0.9805311980070891,0.7272253036499023,279.693701171875,296.1532877604167,3.3558785574776784,1.7226409912109375,97384.7625,0.001486302061130118
max,147.0,2019.0,12.0,111.0,5041000000.0,77492999625.263,1.0,4.0,31.0,1651919841.0830324,0.3276968540136942,10172.821400472068,3316.5798119429683,10920.0,14480.0,4960.0,12480.0,699.0,5220964.655057116,498.0,5949789.280421917,55.3,54.5,55.9,156.80174834008264,137.47419558856572,244.63881402654414,239.0594685194291,132.14128313062278,77492999625.263,893.4528658432349,440.9595901230945,452.4932757201404,3935.0,3060.0,3305.0,9920.0,689.0,0.182,125933.0,100.0,8.0,7.6337690353393555,3.6745914459228515,291.4736328125,313.3745326450893,5.172008167613637,2.757052951388889,101924.45,0.027844335418194532,6.232898712158203,3.3442829132080076,292.11962890625,308.62750651041665,5.172008167613637,2.757052951388889,101996.2625,0.007263065339959887,5.437901496887207,2.742268943786621,292.12017144097223,303.589208984375,5.172008167613637,2.757052951388889,101988.09583333334,0.013315239795095598,5.048863410949707,3.2496237891060966,291.338134765625,309.847802734375,5.172008167613637,2.757052951388889,102153.99583333333,0.020566888386383653
