,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
89632,USC00046521,39.5178,-121.5531,52.1,CA,OROVILLE,,,
89643,USC00046597,38.7583,-120.5031,1051.6,CA,PACIFIC HOUSE,,,
89654,USC00046657,33.3781,-116.8400,1691.6,CA,PALOMAR MTN OBSY,,,
89659,USC00046685,39.7539,-121.6242,533.4,CA,PARADISE,,,
89660,USC00046699,34.2903,-114.1708,224.9,CA,PARKER RESRVOIR,,,
89669,USC00046773,34.5025,-117.8969,945.2,CA,PEARBLOSSOM,,,
89685,USC00046946,40.9869,-121.9772,444.4,CA,PIT RVR PH 5,,,
89700,USC00047085,39.8053,-120.4719,1478.3,CA,PORTOLA,,,
89706,USC00047109,39.3619,-123.1286,310.3,CA,POTTER VALLEY POWERHOUSE,,,
89710,USC00047195,39.9367,-120.9475,1042.4,CA,QUINCY,,HCN,
89819,USC00048014,34.5894,-118.4547,636.7,CA,SAUGUS PWR PLT 1,,,
89831,USC00048135,40.7142,-122.4161,327.7,CA,SHASTA DAM,,,
89841,USC00048218,39.5833,-120.3706,1516.4,CA,SIERRAVILLE RS,,,
89863,USC00048353,37.9672,-120.3872,510.5,CA,SONORA,,,
89865,USC00048380,37.5122,-119.6331,1538.3,CA,SO ENTRANCE YOSEMITE NP,,,
89894,USC00048587,39.5861,-122.5342,243.8,CA,STONY GORGE RSVR,,,
89895,USC00048606,39.5631,-121.1078,1160.7,CA,STRAWBERRY VALLEY,,,
89903,USC00048702,40.4167,-120.6631,1283.8,CA,SUSANVILLE 2SW,,HCN,
89905,USC00048713,38.3772,-120.8008,483.4,CA,SUTTER HILL CDF,,,
89908,USC00048758,39.1678,-120.1428,1898.9,CA,TAHOE CITY,,HCN,
89930,USC00048999,37.6819,-121.3467,41.1,CA,TRACY CARBONA,,,
89934,USC00049026,40.7264,-122.7947,567.2,CA,TRINITY RVR HATCHERY,,,
89935,USC00049035,35.7636,-117.3908,516.6,CA,TRONA,,,
89942,USC00049053,41.9600,-121.4744,1229.9,CA,TULELAKE,,,
89946,USC00049073,37.5006,-120.8550,35.1,CA,TURLOCK #2,,,
89958,USC00049152,34.0697,-118.4428,131.1,CA,U C L A,,,
89982,USC00049367,36.3283,-119.2997,92.4,CA,VISALIA,,,
89988,USC00049390,40.4583,-121.8664,676.7,CA,VOLTA PH,,,
89998,USC00049452,35.5892,-119.3519,88.7,CA,WASCO,,HCN,
90004,USC00049490,40.7367,-122.9403,627.3,CA,WEAVERVILLE,,HCN,
90011,USC00049582,38.3775,-120.5453,845.8,CA,W PT,,,
90021,USC00049621,40.6117,-122.5281,394.7,CA,WHISKEYTOWN RSVR,,,
90032,USC00049699,39.5231,-122.3047,71.3,CA,WILLOWS 6 W,,HCN,
90035,USC00049742,38.5253,-121.9778,41.1,CA,WINTERS,,,
90039,USC00049781,38.6828,-121.7939,20.4,CA,WOODLAND 1 WNW,,,
90046,USC00049855,37.7503,-119.5897,1224.7,CA,YOSEMITE PARK HQ,,HCN,
90048,USC00049866,41.7036,-122.6408,800.1,CA,YREKA,,HCN,
112612,USW00003104,33.6267,-116.1594,-36.0,CA,DESERT RESORTS RGNL AP,,,
112622,USW00003159,34.7411,-118.2117,712.6,CA,LANCASTER WM J FOX FLD,,,
113371,USW00023119,33.9000,-117.2500,462.1,CA,MARCH AFB,,,72286
113373,USW00023129,33.8117,-118.1464,9.4,CA,LONG BEACH DAUGHERTY FLD,,,72297
113374,USW00023130,34.2097,-118.4892,234.7,CA,VAN NUYS AP,,,
113376,USW00023136,34.2167,-119.0833,23.5,CA,CAMARILLO AP,,,
113381,USW00023155,35.4344,-119.0542,149.0,CA,BAKERSFIELD AP,,,72384
113383,USW00023157,37.3711,-118.3581,1250.3,CA,BISHOP AP,,,72480
113387,USW00023161,34.8536,-116.7858,584.3,CA,BARSTOW DAGGETT AP,,,
113395,USW00023174,33.9381,-118.3889,29.6,CA,LOS ANGELES INTL AP,,,72295
113399,USW00023179,34.7675,-114.6189,271.3,CA,NEEDLES AP,,HCN,
113402,USW00023182,34.6294,-118.0836,769.3,CA,PALMDALE AP,,,72382
113406,USW00023187,34.7436,-118.7242,1374.6,CA,SANDBERG,,,72383
113407,USW00023188,32.7336,-117.1831,4.6,CA,SAN DIEGO LINDBERGH FLD,GSN,,72290
113408,USW00023190,34.4258,-119.8425,2.7,CA,SANTA BARBARA MUNI AP,,,72392
113409,USW00023191,33.4050,-118.4158,488.3,CA,AVALON CATALINA AP,,,72292
113423,USW00023230,37.7214,-122.2208,1.8,CA,OAKLAND METRO INTL AP,,,72493
113424,USW00023232,38.5069,-121.4950,4.6,CA,SACRAMENTO EXECUTIVE AP,,,72483
113425,USW00023233,36.6636,-121.6081,22.6,CA,SALINAS MUNICIPAL AP,,,72593
113426,USW00023234,37.6197,-122.3647,2.4,CA,SAN FRANCISCO INTL AP,,,72494
113427,USW00023237,37.8892,-121.2258,7.9,CA,STOCKTON METRO AP,,,72492
113439,USW00023258,37.6242,-120.9506,22.3,CA,MODESTO CITY CO AP,,,
113440,USW00023259,36.5881,-121.8453,50.3,CA,MONTEREY PENINSUL AP,,,
113441,USW00023271,38.5556,-121.4169,11.6,CA,SACRAMENTO 5 ESE,,,
113442,USW00023272,37.7706,-122.4269,45.7,CA,SAN FRANCISCO DWTN,,,
113443,USW00023273,34.8994,-120.4486,73.8,CA,SANTA MARIA PUBLIC AP,,,72394
113444,USW00023275,39.1258,-123.2008,183.2,CA,UKIAH MUNI AP,,,
113548,USW00024213,40.8097,-124.1603,6.1,CA,EUREKA WFO WOODLEY ISLAND,GSN,HCN,72594
113551,USW00024216,40.1519,-122.2536,107.6,CA,RED BLUFF MUNI AP,,,72591
113589,USW00024257,40.5175,-122.2986,151.5,CA,REDDING MUNI AP,,HCN,72592
113596,USW00024286,41.7803,-124.2367,17.1,CA,CRESCENT CITY MCNAMARA AP,,,
113985,USW00093134,34.0511,-118.2353,70.1,CA,LOS ANGELES DWTN USC CAMPUS,,,
113993,USW00093193,36.7800,-119.7194,101.5,CA,FRESNO YOSEMITE INTL AP,GSN,HCN,72389
113998,USW00093209,35.6697,-120.6283,246.9,CA,PASO ROBLES MUNI AP,,,
114012,USW00093230,38.8983,-119.9947,1924.5,CA,SOUTH LAKE TAHOE AP,,,
