,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
89458,USC00045026,36.6044,-118.7325,2052.8,CA,LODGEPOLE,,,
89461,USC00045064,34.6539,-120.4514,22.9,CA,LOMPOC,,,
89475,USC00045118,37.0564,-120.8667,36.6,CA,LOS BANOS,,,
89498,USC00045311,40.5411,-121.5767,1752.6,CA,MANZANITA LAKE,,,
89506,USC00045360,38.4917,-122.1242,146.3,CA,MARKLEY COVE,,,
89514,USC00045449,41.2514,-122.1383,999.7,CA,MCCLOUD,,,
89532,USC00045679,40.3458,-121.6092,1485.9,CA,MINERAL,,,
89536,USC00045756,35.0492,-118.1619,833.6,CA,MOJAVE,,,
89561,USC00045915,37.8792,-121.9303,661.4,CA,MT DIABLO JUNCTION,,,
89564,USC00045941,41.7836,-122.0447,1295.4,CA,MT HEBRON RS,,,
89569,USC00045983,41.3217,-122.3172,1102.5,CA,MT SHASTA,,HCN,
89576,USC00046074,38.2778,-122.2647,10.7,CA,NAPA STATE HOSPITAL,,HCN,
89580,USC00046136,39.2467,-121.0008,847.6,CA,NEVADA CITY,,,
89582,USC00046144,37.5147,-122.0325,3.0,CA,NEWARK,,,
89589,USC00046168,37.2811,-121.0178,27.4,CA,NEWMAN,,,
89593,USC00046175,33.6031,-117.8836,3.0,CA,NEWPORT BEACH HARBOR,,HCN,
89601,USC00046252,37.2328,-119.5097,806.2,CA,N FK RS,,,
89615,USC00046377,33.2097,-117.3950,3.0,CA,OCEANSIDE MARINA,,,
89619,USC00046399,34.4478,-119.2275,227.1,CA,OJAI,,HCN,
89630,USC00046506,39.7458,-122.1997,77.4,CA,ORLAND,,HCN,
89632,USC00046521,39.5178,-121.5531,52.1,CA,OROVILLE,,,
89643,USC00046597,38.7583,-120.5031,1051.6,CA,PACIFIC HOUSE,,,
89648,USC00046624,34.5883,-118.0939,796.1,CA,PALMDALE,,,
89654,USC00046657,33.3781,-116.8400,1691.6,CA,PALOMAR MTN OBSY,,,
89659,USC00046685,39.7539,-121.6242,533.4,CA,PARADISE,,,
89660,USC00046699,34.2903,-114.1708,224.9,CA,PARKER RESRVOIR,,,
89663,USC00046719,34.1483,-118.1447,263.3,CA,PASADENA,,HCN,
89665,USC00046730,35.6278,-120.6856,222.5,CA,PASO ROBLES,,HCN,
89669,USC00046773,34.5025,-117.8969,945.2,CA,PEARBLOSSOM,,,
89673,USC00046826,38.2578,-122.6078,6.1,CA,PETALUMA AP,,HCN,
89680,USC00046926,36.4819,-121.1822,398.4,CA,PINNACLES NM,,,
89700,USC00047085,39.8053,-120.4719,1478.3,CA,PORTOLA,,,
89706,USC00047109,39.3619,-123.1286,310.3,CA,POTTER VALLEY POWERHOUSE,,,
89710,USC00047195,39.9367,-120.9475,1042.4,CA,QUINCY,,HCN,
89718,USC00047253,35.3692,-117.6525,1088.1,CA,RANDSBURG,,,
89731,USC00047339,37.4767,-122.2386,9.4,CA,REDWOOD CITY,,,
89735,USC00047414,37.9192,-122.3772,6.1,CA,RICHMOND,,,
89776,USC00047767,37.7281,-122.5053,2.4,CA,SAN FRANCISCO OCEANSIDE,,,
89790,USC00047851,35.3056,-120.6619,93.9,CA,SAN LUIS OBISPO POLY,,HCN,
