ID,LATITUDE,LONGITUDE
USC00047933,35.3742,-120.6375
USC00047965,38.4558,-122.7133
USC00048014,34.5894,-118.4547
USC00048025,41.3011,-123.1331
USC00048045,40.4833,-124.1039
USC00048135,40.7142,-122.4161
USC00048218,39.5833,-120.3706
USC00048351,38.2994,-122.4622
USC00048353,37.9672,-120.3872
USC00048380,37.5122,-119.6331
USC00048587,39.5861,-122.5342
USC00048606,39.5631,-121.1078
USC00048702,40.4167,-120.6631
USC00048713,38.3772,-120.8008
USC00048758,39.1678,-120.1428
USC00048839,35.0233,-118.7497
USC00048917,36.465,-118.8619
USC00048999,37.6819,-121.3467
USC00049001,37.7958,-121.5831
USC00049026,40.7264,-122.7947
USC00049035,35.7636,-117.3908
USC00049053,41.96,-121.4744
USC00049073,37.5006,-120.855
USC00049099,34.1281,-116.0369
USC00049111,34.9881,-120.3211
USC00049124,39.1267,-123.2719
USC00049152,34.0697,-118.4428
USC00049185,37.7719,-122.1675
USC00049325,34.5292,-117.2928
USC00049367,36.3283,-119.2997
USC00049378,33.2353,-117.2322
USC00049390,40.4583,-121.8664
USC00049452,35.5892,-119.3519
USC00049473,36.9308,-121.7692
USC00049490,40.7367,-122.9403
USC00049582,38.3775,-120.5453
USC00049621,40.6117,-122.5281
USC00049694,40.9467,-123.6364
USC00049699,39.5231,-122.3047
USC00049742,38.5253,-121.9778
USC00049781,38.6828,-121.7939
USC00049785,34.1819,-118.5744
USC00049855,37.7503,-119.5897
USC00049866,41.7036,-122.6408
USR0000CASC,41.2769,-121.9794
USR0000CBAL,38.9056,-120.6972
USR0000CBBR,40.7333,-123.2333
USR0000CBGR,39.3975,-121.3861
USR0000CBLT,38.5908,-120.9336
USR0000CBOO,38.9875,-123.3486
USR0000CBRO,38.7383,-122.1447
USR0000CBZE,41.6853,-122.5942
USR0000CCAL,41.3075,-122.7958
USR0000CCHI,34.3317,-118.0303
USR0000CCOH,39.8717,-121.7689
USR0000CCOO,40.2569,-124.2661
USR0000CCOR,36.9911,-121.7978
USR0000CCRZ,41.9919,-123.6036
USR0000CDOY,40.0222,-120.1056
USR0000CFAN,36.8839,-119.4658
USR0000CFIS,32.9903,-116.0669
USR0000CFOU,35.8922,-118.915
USR0000CFRI,40.505,-123.3417
USR0000CGHP,40.7817,-120.7844
USR0000CGSP,37.8331,-120.5
USR0000CHEL,39.0717,-120.4217
USR0000CHER,36.3825,-120.8558
USR0000CHNM,36.5625,-117.4736
USR0000CJUA,41.7861,-122.0056
USR0000CJUN,41.3322,-120.4725
USR0000CKEE,33.6667,-116.7667
USR0000CKET,36.0333,-120.0569
USR0000CKNO,38.8619,-122.4172
USR0000CLAB,37.0547,-121.0531
USR0000CLAH,37.3053,-122.255
USR0000CLAP,35.3811,-120.1875
USR0000CLAS,40.3442,-121.7136
USR0000CLDR,40.8072,-121.2967
USR0000CLST,35.6564,-120.9242
USR0000CLYO,39.1258,-123.0736
USR0000CMAN,40.54,-121.5803
USR0000CMCG,39.3528,-123.6011
USR0000CMET,37.4094,-119.7681
USR0000CMIL,34.3903,-118.0825
USR0000CMSA,37.5042,-119.9869
USR0000CMTZ,38.3894,-120.6511
USR0000COAK,41.8386,-122.85
USR0000COWE,38.7333,-120.245
USR0000CPAR,35.8989,-120.4319
USR0000CPAT,40.295,-122.8667
USR0000CPIE,40.2461,-120.6422
USR0000CPIK,39.475,-121.2025
USR0000CPOT,32.6058,-116.6089
USR0000CPRD,36.7269,-120.7658
USR0000CQUA,41.5992,-122.9336
USR0000CQUI,39.9733,-120.9419
USR0000CRIC,34.0608,-114.7322
USR0000CSAW,41.3003,-123.1322
USR0000CSCI,33.9958,-119.7222
USR0000CSCN,41.1117,-122.6967
USR0000CSHQ,36.5672,-118.9556
USR0000CSIM,41.075,-122.3733
USR0000CSLA,41.8586,-123.3525
USR0000CSOL,40.9258,-121.5856
USR0000CSOM,41.39,-123.4958
USR0000CSQU,32.9083,-114.4944
USR0000CSRI,33.9778,-120.0778
USR0000CTAN,34.2069,-117.7606
USR0000CTHO,39.8644,-122.6097
USR0000CVAL,33.2372,-117.0086
USR0000CWAR,34.5958,-118.5786
USR0000CWEE,41.4789,-122.4539
USR0000CWES,40.3067,-120.9
USR0000CWHT,40.6194,-121.8994
USR0000CWWO,37.8511,-119.65
USR0000CYOL,40.3375,-123.0656
USR0000CYUC,34.1233,-116.4078
USS0019L03S,38.85,-119.94
USS0019L05S,38.61,-119.92
USS0019L06S,38.51,-119.63
USS0019L07S,38.31,-119.6
USS0019L08S,38.3,-119.55
USS0019L13S,38.07,-119.23
USS0019L17S,38.44,-119.37
USS0019L19S,38.55,-119.8
USS0019L24S,38.92,-119.92
USS0019L38S,38.28,-119.61
USS0019L39S,38.67,-119.82
USS0019L40S,38.67,-119.61
USS0020H06S,41.58,-120.3
USS0020H12S,41.99,-120.18
USS0020H13S,41.24,-120.79
USS0020K03S,39.49,-120.28
USS0020K04S,39.45,-120.29
USS0020K13S,39.3,-120.18
USS0020K25S,39.14,-120.22
USS0020K27S,39.17,-120.15
USS0020K30S,39.19,-120.26
USS0020K31S,39.33,-120.37
USS0020L02S,39,-120.13
USS0020L06S,38.85,-120.08
USS0020L10S,38.93,-120.05
USW00003104,33.6267,-116.1594
USW00003122,33.8017,-118.3411
USW00003144,32.8342,-115.5786
USW00003159,34.7411,-118.2117
USW00023110,36.3333,-119.95
USW00023119,33.9,-117.25
USW00023129,33.8117,-118.1464
USW00023130,34.2097,-118.4892
USW00023136,34.2167,-119.0833
USW00023155,35.4344,-119.0542
USW00023157,37.3711,-118.3581
USW00023158,33.6186,-114.7142
USW00023161,34.8536,-116.7858
USW00023174,33.9381,-118.3889
USW00023179,34.7675,-114.6189
USW00023182,34.6294,-118.0836
USW00023187,34.7436,-118.7242
USW00023188,32.7336,-117.1831
USW00023190,34.4258,-119.8425
USW00023191,33.405,-118.4158
USW00023199,32.8167,-115.6833
USW00023225,39.2775,-120.7103
USW00023230,37.7214,-122.2208
USW00023232,38.5069,-121.495
USW00023233,36.6636,-121.6081
USW00023234,37.6197,-122.3647
USW00023237,37.8892,-121.2258
USW00023258,37.6242,-120.9506
USW00023259,36.5881,-121.8453
USW00023271,38.5556,-121.4169
USW00023272,37.7706,-122.4269
USW00023273,34.8994,-120.4486
USW00023275,39.1258,-123.2008
USW00024213,40.8097,-124.1603
USW00024216,40.1519,-122.2536
USW00024257,40.5175,-122.2986
USW00024259,41.7806,-122.4717
USW00024286,41.7803,-124.2367
USW00093104,35.6875,-117.6931
USW00093107,32.8667,-117.1333
USW00093111,34.1167,-119.1167
USW00093112,32.7,-117.2
USW00093115,32.5667,-117.1167
USW00093134,34.0511,-118.2353
USW00093193,36.78,-119.7194
USW00093209,35.6697,-120.6283
USW00093230,38.8983,-119.9947
